               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072789,            0.025181,            0.096544,           0.0048985,             0.78337,            0.020786,           0.0086307,            0.048636,           0.0097092,            0.083759,            0.070083,           0.0033241,           0.0033241
                   1,            0.050452,            0.020949,            0.090038,            0.011331,             0.63815,             0.05206,            0.021836,            0.043395,           0.0087422,             0.07761,            0.040017,           0.0065915,           0.0065915
                   2,             0.04923,            0.019824,            0.083888,             0.74793,            0.089833,             0.10418,            0.045934,            0.045056,           0.0099397,            0.068489,           0.0098851,            0.009793,            0.009793
                   3,            0.049106,            0.019691,            0.075031,             0.51757,             0.20683,             0.20884,            0.089276,            0.045582,           0.0086514,            0.056278,            0.009703,            0.009703,            0.009703
                   4,             0.04815,            0.019077,            0.067648,             0.48777,             0.31337,             0.30846,             0.13434,            0.045883,           0.0085912,            0.048364,            0.009703,            0.009703,            0.009703
                   5,            0.048346,            0.018534,            0.059443,             0.50272,              0.4015,             0.39371,             0.19624,            0.043544,           0.0087734,            0.044039,            0.009604,            0.009604,            0.009604
                   6,            0.047176,            0.018319,            0.055069,             0.56771,             0.44915,             0.48463,             0.23311,            0.042677,            0.008045,            0.036826,            0.009505,            0.009505,            0.009505
                   7,            0.047236,            0.018074,            0.049155,             0.58236,             0.50476,             0.53414,             0.24969,             0.04402,            0.007965,            0.030295,            0.009406,            0.009406,            0.009406
                   8,            0.047036,            0.017755,            0.044119,              0.6061,              0.5259,             0.59731,             0.27281,            0.043276,           0.0077354,            0.029971,            0.009307,            0.009307,            0.009307
                   9,            0.046253,            0.017421,            0.041249,             0.65867,             0.56356,             0.62057,             0.30846,            0.041619,           0.0076069,            0.028341,            0.009208,            0.009208,            0.009208
                  10,            0.046363,            0.017582,            0.037935,              0.6751,             0.61878,             0.67949,             0.36259,            0.039911,           0.0074853,            0.024045,            0.009109,            0.009109,            0.009109
                  11,            0.045998,            0.017205,            0.035472,             0.70868,             0.64985,             0.69505,             0.37976,            0.039385,           0.0074333,            0.022472,             0.00901,             0.00901,             0.00901
                  12,            0.045385,            0.017225,            0.034303,              0.7243,             0.66663,              0.7127,             0.37955,            0.039187,           0.0073258,            0.023025,            0.008911,            0.008911,            0.008911
                  13,            0.044724,            0.017134,            0.031249,             0.73966,             0.67621,             0.75349,             0.40474,            0.038371,           0.0071939,             0.02115,            0.008812,            0.008812,            0.008812
                  14,            0.044354,            0.016775,            0.029868,             0.76085,             0.68982,             0.74898,             0.39196,            0.039174,           0.0076557,            0.020794,            0.008713,            0.008713,            0.008713
                  15,            0.044492,            0.016784,            0.028623,              0.7641,             0.68402,             0.75204,             0.40657,            0.036922,            0.007263,            0.019525,            0.008614,            0.008614,            0.008614
                  16,            0.044012,            0.016434,            0.027586,              0.7445,             0.71348,              0.7518,             0.41484,            0.039447,           0.0070836,            0.019797,            0.008515,            0.008515,            0.008515
                  17,            0.043478,            0.016397,             0.02581,             0.75657,             0.69991,             0.76932,             0.42688,            0.037301,           0.0070482,            0.017979,            0.008416,            0.008416,            0.008416
                  18,            0.043448,             0.01618,            0.024573,             0.74584,             0.71995,             0.76501,             0.42873,            0.038902,           0.0070625,            0.018859,            0.008317,            0.008317,            0.008317
                  19,            0.042833,            0.016312,            0.023579,             0.82878,             0.75161,             0.80726,             0.43378,            0.038267,           0.0069746,            0.016037,            0.008218,            0.008218,            0.008218
                  20,             0.04219,             0.01601,            0.022748,             0.82492,             0.73992,             0.80103,             0.46405,            0.037697,           0.0067671,             0.01713,            0.008119,            0.008119,            0.008119
                  21,            0.042172,            0.015853,            0.021858,             0.79658,             0.74065,             0.80065,             0.45014,             0.03813,           0.0069393,            0.017636,             0.00802,             0.00802,             0.00802
                  22,            0.041406,            0.015837,            0.020656,             0.86143,             0.74141,             0.81741,             0.49153,            0.036203,           0.0068687,            0.016968,            0.007921,            0.007921,            0.007921
                  23,            0.041621,            0.015834,            0.020387,             0.84732,             0.75556,             0.81512,             0.49628,            0.035056,           0.0067636,            0.017369,            0.007822,            0.007822,            0.007822
                  24,            0.040856,            0.015752,            0.020705,             0.83299,             0.76927,              0.8263,             0.48794,            0.034918,           0.0067436,            0.016199,            0.007723,            0.007723,            0.007723
                  25,            0.040327,            0.015706,            0.019644,              0.7922,             0.77992,              0.8223,             0.48877,            0.035002,           0.0068104,            0.016964,            0.007624,            0.007624,            0.007624
                  26,            0.040219,            0.015397,             0.01849,             0.86067,             0.75393,             0.83514,             0.50431,            0.035066,           0.0066972,            0.015923,            0.007525,            0.007525,            0.007525
                  27,            0.040412,             0.01526,            0.018185,             0.86059,             0.77899,             0.84677,              0.5236,            0.035409,           0.0066208,             0.01708,            0.007426,            0.007426,            0.007426
                  28,             0.03955,            0.015265,            0.017513,              0.8632,             0.77967,             0.85592,             0.51315,            0.034331,           0.0066402,             0.01484,            0.007327,            0.007327,            0.007327
                  29,            0.038969,            0.015399,            0.018238,              0.8169,             0.76113,             0.81955,             0.47644,             0.03498,           0.0066177,            0.015239,            0.007228,            0.007228,            0.007228
